ID,발송일,"발송채널 (noti : 네이버앱, npay: 페이앱)",서비스명,발송 문구,발송회원수,클릭회원수,클릭율,클릭까지 소요된 평균 분(Minutes)
206,2024-03-15,noti,신용대환대출,(광고) 더 싼 대출이 잘 나오는 시간이 있다? 바로 지금이에요 👉 ,20933,1768,8.446,6843.404412
207,2024-03-15,noti,신용대환대출,(광고) 최대 -2% 혜택 대상자입니다. 혜택 확인해보시겠어요? ,2677,334,12.477,2856.176647
208,2024-03-15,noti,신용점수조회,(광고) 미뤄두었던 약관동의 완료하고  2023년 나의 신용분석 리포트 받으세요!,1708,138,8.08,2109.855072
209,2024-03-18,noti,신용대출비교,(광고) 🎉대출 이자지원 대상자입니다!🎉 네이버페이 첫 달 -2%이자지원 금리 혜택 받기  👉,229197,25611,11.174,1112.449533
210,2024-03-18,noti,신용대환대출,(광고) 더 싼 대출이 잘 나오는 시간이 있다? 바로 지금이에요 👉 ,15592,1339,8.588,4948.955937
211,2024-03-18,noti,신용점수조회,(광고) 미뤄두었던 약관동의 완료하고  2023년 나의 신용분석 리포트 받으세요!,1329,96,7.223,2378.166667
212,2024-03-18,noti,신용대환대출,(광고) 최대 -2% 혜택 대상자입니다. 혜택 확인해보시겠어요? ,1881,240,12.759,2369.725
213,2024-03-18,noti,신용대환대출,(광고) 내 금리 한도가 달라졌을까? 지금 확인해보세요👉,4800,306,6.375,6266.542484
214,2024-03-19,noti,신용대환대출,(광고) 더 싼 대출이 잘 나오는 시간이 있다? 바로 지금이에요 👉 ,24618,2877,11.687,4512.582551
215,2024-03-19,noti,신용대환대출,(광고) 내 금리 한도가 달라졌을까? 지금 확인해보세요👉,4485,262,5.842,5600.48855
216,2024-03-19,noti,신용대출비교,(광고) 🎉대출 이자지원 대상자입니다!🎉 네이버페이 첫 달 -2%이자지원 금리 혜택 받기  👉,186471,8889,4.767,1207.858589
217,2024-03-19,noti,신용점수조회,(광고) 미뤄두었던 약관동의 완료하고  2023년 나의 신용분석 리포트 받으세요!,1683,143,8.497,1051.440559
218,2024-03-19,noti,신용대환대출,(광고) 최대 -2% 혜택 대상자입니다. 혜택 확인해보시겠어요? ,3453,585,16.942,2808.015385
219,2024-03-20,noti,신용대환대출,(광고) 더 싼 대출이 잘 나오는 시간이 있다? 바로 지금이에요 👉 ,25486,2830,11.104,4648.832509
220,2024-03-20,noti,신용대환대출,(광고) 최대 -2% 혜택 대상자입니다. 혜택 확인해보시겠어요? ,3179,439,13.809,3138.068337
221,2024-03-20,noti,신용점수조회,(광고) 미뤄두었던 약관동의 완료하고  2023년 나의 신용분석 리포트 받으세요!,1896,161,8.492,1950.906832
222,2024-03-20,noti,신용대환대출,(광고) 내 금리 한도가 달라졌을까? 지금 확인해보세요👉,5197,319,6.138,5198.404389
223,2024-03-20,noti,신용대출비교,(광고) 🎉대출 이자지원 대상자입니다!🎉 네이버페이 첫 달 -2%이자지원 금리 혜택 받기  👉,235651,17724,7.521,866.5350937
224,2024-03-21,noti,신용대환대출,(광고) 내 금리 한도가 달라졌을까? 지금 확인해보세요👉,4235,261,6.163,6814.743295
